,dataset,participant,muscle,test,mvc
407,Romain2017,6,middle deltoid,test 13,2.8481641133107468e-05
408,Romain2017,6,posterior deltoid,test 00,0.00018913967657047145
409,Romain2017,6,posterior deltoid,test 03,0.0002137045559374201
410,Romain2017,6,posterior deltoid,test 04,0.0003227854860750697
411,Romain2017,6,posterior deltoid,test 05,0.0006025562268753181
412,Romain2017,6,posterior deltoid,test 08,0.0005334399563123132
413,Romain2017,6,posterior deltoid,test 09,0.0004286757686252121
414,Romain2017,6,posterior deltoid,test 10,1.0263584461412086e-05
415,Romain2017,6,posterior deltoid,test 13,1.3340257767194069e-05
416,Romain2017,6,pectoralis major,test 00,8.078289263679408e-06
417,Romain2017,6,pectoralis major,test 03,4.3809573718125145e-05
418,Romain2017,6,pectoralis major,test 04,7.611103918210787e-06
419,Romain2017,6,pectoralis major,test 05,5.559448341511359e-06
420,Romain2017,6,pectoralis major,test 08,7.250431707200282e-06
421,Romain2017,6,pectoralis major,test 09,5.6762203661366564e-06
422,Romain2017,6,pectoralis major,test 10,0.00024017177872939828
423,Romain2017,6,pectoralis major,test 13,0.00035501523232347196
424,Romain2017,6,supraspinatus,test 00,0.00036960884476534806
425,Romain2017,6,supraspinatus,test 03,0.00035404106576027356
426,Romain2017,6,supraspinatus,test 04,0.0003915791589159007
427,Romain2017,6,supraspinatus,test 05,0.00022562975221655226
428,Romain2017,6,supraspinatus,test 08,0.000280406511124732
429,Romain2017,6,supraspinatus,test 09,0.00021195010690764412
430,Romain2017,6,supraspinatus,test 10,3.519363695173826e-05
431,Romain2017,6,supraspinatus,test 13,0.00013118673292413147
432,Romain2017,6,infraspinatus,test 00,0.00042284052695141134
433,Romain2017,6,infraspinatus,test 03,0.00046279996335962554
434,Romain2017,6,infraspinatus,test 04,0.00033817002625693147
435,Romain2017,6,infraspinatus,test 05,0.0005197748353384625
436,Romain2017,6,infraspinatus,test 08,0.0002294077908686282
