,dataset,participant,muscle,test 00,test 01,test 02,test 03,test 04,test 05,test 06,test 07,test 08,test 09,test 10,test 11,test 12,test 13,test 14,test 15
444,Landry2015_1,44,middle deltoid,0.24661901663713937,,0.2201064597927595,0.2402275679827671,0.2606825479982312,0.1779304559033273,,,0.21966381013252556,0.0851722217464354,0.0714497538955987,,,,0.17819087427801794,
445,Landry2015_1,44,posterior deltoid,0.21878845727424096,,0.29226024581302035,0.15903087077199182,0.21054233040723744,0.2229984170932318,,,0.21620590822208063,0.13062890077056785,0.12417567173923923,,,,0.15404126898739465,
446,Landry2015_1,44,serratus anterior,0.5430845199248763,,0.09698088595440153,0.47504729042271143,0.4551198668533163,0.02540847324515208,,,0.3882742126752203,0.0599431586619392,0.024030439748375182,,,,0.35862576454642675,
447,Landry2015_1,44,subscapularis,1.3198493999445302,,0.07003373049275433,0.26022050925584317,0.05868832597733386,0.29642693621190275,,,0.016034144042834327,0.019808105223896425,0.23772032637870358,,,,0.1192961859040632,
448,Landry2015_1,44,supraspinatus,0.09285759589175487,,0.14872387004436144,0.11519534737298329,0.1280683344435635,0.08780079651903584,,,0.10365427185404649,0.0629420176859284,0.07007549168409422,,,,0.09694580593601311,
449,Landry2015_1,44,upper trapezius,0.535749465555455,,0.260563355320787,0.4136983441999453,0.4546067842142024,0.1592100112067327,,,0.29869405045094843,0.07296320024100485,0.12352842773249875,,,,0.19538645485468767,
450,Landry2015_1,45,anterior deltoid,0.4351836173207208,,0.24420296071410696,0.3825692580171962,0.4247421240268263,0.12693266599552686,,,0.20107437321310595,0.08356348015735453,0.013770744062010386,,,,0.38694066515282705,
451,Landry2015_1,45,infraspinatus,0.05311103272690868,,0.039994814186803694,0.09025305747942912,0.0605528964784515,0.03312289717236933,,,0.0457298502002978,0.09012940041337743,0.030385055515066237,,,,0.06297058201629828,
452,Landry2015_1,45,lower trapezius,0.08418238652057665,,0.1731149084723211,0.0882177920494797,0.11116902505194609,0.06892201921295438,,,0.048598075058023854,0.07095711222500231,0.03297737857391998,,,,0.14254949445533027,
453,Landry2015_1,45,middle deltoid,0.3254735038168178,,0.2368465973528362,0.2215988358326994,0.2832912222317663,0.2107999200484234,,,0.18803059700916042,0.1565427569495861,0.012041267281053815,,,,0.1373590703251467,
454,Landry2015_1,45,posterior deltoid,0.06661948852858081,,0.1885872478273622,0.055681685392416656,0.12346609531679975,0.4934604388476885,,,0.31415794196775026,0.24040241944359225,0.10582623783571106,,,,0.02730471060878057,
455,Landry2015_1,45,serratus anterior,0.41596861800482654,,0.36003340819259505,0.20453860876748192,0.2583609352335894,0.019643321714249044,,,0.3057122842241068,0.0992061899318519,0.04025144807791058,,,,0.34334854368466494,
456,Landry2015_1,45,subscapularis,0.0008264431440972677,,0.0009093002123983534,0.0008299660364370893,0.0008277613387020242,0.0008467984009478853,,,0.021307491098474532,0.027101078808046665,0.04724591627281251,,,,0.03110333194827066,
457,Landry2015_1,45,supraspinatus,0.06017799513512763,,0.030256877856378872,0.07015530650677806,0.08038563974040948,0.08820356754958086,,,0.04134653895350957,0.03487474838896002,0.003603318397371991,,,,0.010293455072206229,
